Screaming Circuits SMD component position file.

Centroid Data for pc board: "470_RoboRIO_RevB.brd" as of: 10/18/2018 1:28 AM
Measurements are in inches. Comma delimited
Only surface mount components included

RefDes,Layer,LocationX,LocationY,Rotation
D1,Top,2.932,0.459,270
D2,Top,3.334,0.459,270
J1,Bottom,3.002,0.787,270
R1,Top,2.813,0.459,180
R2,Top,3.215,0.459,180
U1,Top,2.776,0.571,0
